"","entityName","loc","sic","sicDescription","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4","2008Q1"
"320","ABM INDUSTRIES INCORPORATED","US-NY",7340,"Services-To Dwellings & Other Buildings",580671558.271834,734430262.917144,-717613856.268689,-80979382.9305505,1448707.86151984,2140637.7545292,7933166.7854948,5133363.83750932,6636866.06263938,5259917.33151679,5188765.770764,6400402.32736831,5772373.28403561,3282712.49954008,3905571.03155849,5519885.10718697,6659430.84866323,5186715.7356253,13400000,19300000,1.6e+07,24200000,13100000,15200000,19400000,27900000,17700000,18300000,1500000,38800000,1.4e+07,4400000,31100000,7800000,-56800000,31300000,32900000,-3600000,27800000,26600000,33600000,9700000,1.3e+07,29700000,36800000,47900000,2.8e+07,1045929.34590549,2115224.05726508,53100000,7718373.70995464,8534391.73162789,12185922.8487615,10830338.7499872,7.6e+07,NA
"321","J&J SNACK FOODS CORP.","US-NJ",2052,"Cookies & Crackers",126941074.459506,71515436.1988934,-2147437.47193897,-101020.711954572,13305610.6212176,19820877.1710897,45953392.4113871,33609414.6864783,47842250.4444971,46945994.027802,34515796.0861675,39386270.0221259,56961187.7264242,55965771.7715761,49012579.7974976,50613426.4264039,61288243.3434983,26868330.6196736,10226000,12660000,21172000,20323000,12426000,13521000,23678000,22189000,11256000,14637000,24462000,19828000,12978000,15588000,26791000,20618000,13540000,15987000,25304000,24343000,36249000,17833000,26129000,23385000,17526000,20354000,30872000,26067000,17059000,11974463.1509342,-12647000,6584000,57368514.3635331,48307264.354456,134309526.892097,116692689.762294,126111320.544727,NA
"322","JACK IN THE BOX INC.","US-CA",5812,"Retail-Eating  Places",580753416.890258,734589425.475441,-717996451.884574,-81016781.794486,1448355.80982453,2140151.24427703,7931834.13876976,5132434.62059342,6635616.04421476,5258813.42341671,5187819.1908254,6399292.98126684,5771107.33697949,3281802.19432434,3904614.67208019,5518711.0738377,6658021.63652843,5185900.00955278,20689000,13291000,-5656000,22828000,32286000,15801000,24703000,16160000,35835000,23005000,26831000,23141000,33221000,28682000,30189000,31981000,35929000,33094000,36351000,29958000,12190000,47605000,45307000,16269000,34098000,25089000,13189000,22061000,7897000,1045624.12312317,2114841.63583625,37849000,50859000,35934000,40028000,10827936.1915505,39270000,NA
"323","Lindsay Corporation","US-NE",3523,"Farm Machinery & Equipment",580753999.899207,734589999.901174,-717999999.39675,-81017098.4663407,1448359.96945883,2140157.82314629,7931858.31116354,5132450.80595171,6635631.7599334,5258827.57296501,5187835.32079052,6399306.91024029,5771125.19077271,3281811.05069527,3904624.87545668,5518728.78112564,6658038.8763771,5185908.89418433,14728000,19351000,26063000,10428000,10234000,13450000,16499000,11329000,7568000,8995000,12927000,-3181000,6944000,-4129000,9644000,7808000,873000,5012000,10952000,6342000,3185000,1735000,10379000,4978000,1212000,-3440000,2897000,1503000,8345000,1045623.44830907,2114841.14600427,14674000,7095000,11876000,17797000,10827927.0134186,7901000,NA
"324","ESCO TECHNOLOGIES INC.","US-MO",3669,"Communications Equipment, NEC",580753996.881328,734589996.927732,-717999981.033414,-81017096.8271222,1448359.97477217,2140157.82767274,7931858.30569694,5132450.79915239,6635631.74414331,5258827.56173022,5187835.3149733,6399306.89025705,5771125.18362793,3281811.0505621,3904624.87292174,5518728.77366973,6658038.86475765,5185908.88630279,246000,1559000,4897000,-32305000,11189000,-33677000,11590000,11308000,10023000,7610000,11896000,12983000,8829000,8610000,11528000,16915000,10727000,11157000,12645000,19174000,34671000,9994000,19019000,28452000,17317000,18797000,20067000,24858000,86777000,1045623.4514373,2114841.1475599,-21306000,12818000,15404000,14909000,10827927.0020576,11524000,NA
"325","RADIUS RECYCLING, INC.","US-OR",5090,"Wholesale-Misc Durable Goods",580751512.56116,734587549.186684,-717984864.449434,-81015747.4296357,1448342.22284137,2140129.75516287,7931755.18255661,5132381.75307168,6635564.7106123,5258767.20556011,5187766.50423286,6399247.4838451,5771049.01969599,3281773.2659947,3904581.34391478,5518653.23511427,6657965.32455252,5185870.98886884,-1671000,8643000,820000,-289234000,-6228000,1789000,3110000,7253000,-2473000,-195642000,-9626000,10732000,-5296000,-41245000,1.1e+07,16132000,-1326000,11037000,16565000,18235000,18364000,41016000,37402000,59669000,16188000,12892000,15690000,11575000,-6995000,1045626.32731523,2114843.23579726,3962000,7716947.00883915,8533022.92001196,12183205.4948403,10827966.1708669,6736854.69513241,NA
"326","WAFD, INC.","US-WA",6021,"National Commercial Banks",125993814.320027,70699501.5910245,-2081061.77215217,-76359.2958841278,13445472.5387233,20034726.6583172,46351978.9338713,33920573.955063,48308838.5980622,47452997.3203677,34838096.755275,39739363.7206838,57605210.9783168,56747027.1689297,49623414.1455901,51167020.5809819,61960440.1775251,27085895.9387127,35283000,26649147.652494,59775881.5167585,42906000,40236000,38657000,37910000,40561000,38407000,40361000,39050000,42498000,35098000,41723000,43004000,44224000,41246000,42070000,44112000,46104000,51670000,49271000,51394000,51515000,52942000,51098000,53854000,52362000,67866000,12109235.269468,12947633.2815238,34343000,57937118.7059171,48720838.7692013,135905699.254317,118066066.56512,127940946.013678,NA
"327","Rockwell Automation, Inc.","US-WI",3829,"Measuring & Controlling Devices, NEC",125994406.185309,70705009.8687615,-2080325.71235589,-76123.7056823336,13447365.1237428,20035094.4589481,46356317.3330042,33923435.4402081,48313531.3514502,47457647.7710641,34841935.0003051,39743630.9721277,57610907.6212467,56752528.2141906,49628448.2398891,51172469.7791201,61961779.1095753,27089576.5896983,161400000,175900000,203700000,215300000,198100000,180300000,199700000,248700000,214200000,2.06e+08,206100000,201300000,185500000,1.68e+08,1.91e+08,185200000,214700000,189500000,216900000,204600000,-236400000,227400000,198600000,345900000,80300000,3.46e+08,261400000,8100000,310700000,12111221.8970927,12948501.2226656,262700000,593300000,4.15e+08,271300000,118078136.562101,241500000,NA
"328","Aramark","US-PA",5812,"Retail-Eating  Places",125993856.301901,70699537.6805903,-2081064.68724006,-76360.3918280543,13445466.2844734,20034717.0940825,46351961.1258629,33920560.0491285,48308817.7407581,47452974.6447156,34838082.3508528,39739347.9429403,57605182.1672407,56746992.1729216,49623386.8036891,51166995.8198648,61960410.1110901,27085886.2211586,42814000,-40104000,27748000,38898000,44762000,12916000,46873000,44405000,85497000,59823000,33761000,56865000,93343000,66354000,44765000,83344000,125339000,70151000,65295000,113138000,292284000,27569000,72577000,175455000,250682000,29353000,82955000,85557000,145761000,-202260000,-256440000,-148590000,-81243000,-77576000,32557000,118066005.111514,42611000,NA
"329","REGEN BIOPHARMA, INC.","US-CA",2834,"Pharmaceutical Preparations",64142869.4872007,132048482.934411,17810315.8950444,16372801.7775358,-2729999.99894671,-11581999.9946761,38213087.0777525,-9657999.99262838,-146978.395543037,25288.6809978495,89107.6234720229,-307815.574706145,-468080.89054944,64068.8748063656,-58901.585509652,-346977.815675389,-120764.968522186,-64638.9440729728,-91839,-70505,-74829,-117861,-209529,-186201,-166021,-194602,-219191,-8812902,-1562371,-600684,-1857466,-1090386,-2357084,-189787.723595222,-2524579,-1311594,-2623407,-261753.937283866,-2785148,-1130853,-107596,-643630.272151964,245057,-333177,-4405083,-369612.843073506,3082768,-4077145,3205945,-257602.269065174,-536584.135684132,-418093.905275123,-7489114,168369.26848444,2644980,NA
"330","MUELLER INDUSTRIES, INC.","US-TN",3350,"Rolling Drawing & Extruding of  Nonferrous Metals",125993818.055736,70699504.8024129,-2081062.03154784,-76359.3934054573,13445471.9821958,20034725.8072544,46351977.3492455,33920572.7176589,48308836.7420982,47452995.3025999,34838095.4735135,39739362.3167188,57605208.4145951,56747024.0548485,49623411.7126013,51167018.3776413,61960437.5020967,27085895.074007,49539048.1887189,26202000,91150000,39864000,15384000,24706000,35045000,23823000,17987000,21978000,33651000,17800000,14435000,28630000,27797000,25978000,17322000,29987000,27633000,22258000,5720000,24128000,33182000,20292000,26857000,15723000,27986000,29093000,28170000,32415000,27956000,42702000,36420000,63107000,108832000,170980000,125601000,NA
"331","ELME COMMUNITIES","US-MD",6798,"Real Estate Investment Trusts",580752796.241694,734588813.9666,-717992675.353271,-81016444.678778,1448351.38161465,2140144.2406356,7931808.40568509,5132417.39022678,6635599.31378651,5258798.36028604,5187802.01942702,6399278.15294476,5771088.33044699,3281792.76612308,3904603.80990386,5518692.22327426,6658003.28356521,5185890.55126132,6722658.00742797,7335000,5263000,5840000,18908000,104554000,1087000,3668000,2330000,29506000,-2546000,647000,62133000,2384000,31836000,79674000,5445000,6634000,7864000,2833000,2337000,3299000,10750000,5893000,5688000,-4405000,987000,332770000,54198000,1045624.84149818,2114842.15728287,6293100.53037457,7716932.62805523,8533012.99891453,12183195.0602149,10827945.9622146,6736849.0743692,NA
"332","New England Realty Associates Limited Partnership","US-MA",6513,"Operators of  Apartment Buildings",64131024.0644973,132048497.538541,17810303.4299001,16372792.7103158,-2729492.83946067,-11579396.5440755,38213083.2138318,-9656852.07409075,-146969.266087697,25289.7683241239,89103.1903068283,-307807.827973689,-468065.385135884,64068.8081682686,-58904.2522879909,-346969.138662817,-120763.978503559,-64637.4179484415,-54193.5681433501,901625,4469116,-32874,317518,-29614,281721,181487,591256,409658,1096457,1073746,1192704,1230764,980586,1210747,1528755,1894234,2483707,871720,1688270,1878558,53326,660329,1576877,1500516,1764244,1383979,1898513,1368783,1465051,-439284,-970022,-294180,569891,-75385,-2900489,NA
"333","The ODP Corporation","US-FL",5940,"Retail-Miscellaneous Shopping Goods Stores",64142869.4872006,132048482.934411,17810315.8950444,16372801.7775358,-27869197.2297721,-50108999.9710345,-23905281.1289449,-43024828.8430902,-6354811.08735294,-15562618.5906656,-38794884.4213738,-4296760.03215595,-34569338.2989339,-21491928.3105022,-16284780.8502034,-45887656.8446501,-10273361.4373447,-1786054.02705758,-18098069.0333672,-7e+06,-5.4e+07,1.61e+08,-1.21e+08,-1.09e+08,-1.9e+08,2.9e+07,-8.4e+07,4.5e+07,-5.8e+07,6e+06,1.5e+07,4.6e+07,2.1e+08,1.93e+08,8e+07,1.16e+08,2.4e+07,9.2e+07,-5.2e+07,4.1e+07,1.6e+07,6e+07,-1.4e+07,8e+06,-2.4e+07,6e+07,5.5e+07,4.5e+07,-4.39e+08,5.7e+07,1.8e+07,5.3e+07,-8.8e+07,1.01e+08,-2.74e+08,NA
"334","FIRST COMMUNITY BANKSHARES INC /VA/","US-VA",6022,"State Commercial Banks",64142869.4872006,132048482.934411,17810315.8950444,16372801.7775358,5067000.00013283,4404000.00009334,5249000.00092664,2564104.48338858,2168702.89545007,1863526.24452616,2838070.37768853,1480523.03081801,3009778.9440689,2888354.45868308,2663711.90647996,2724374.57283045,2856367.4457534,2531066.32850044,2967948.29096245,7141000,5435000,5412000,5324000,5725000,7007000,7043000,5715000,5958000,6175000,6259000,6148000,6084000,6255000,6383000,4118910.97680656,6202000,6418000,7652000,1213000,8868000,9066000,9100000,9306000,5539472.75219413,5045783.28628006,5662772.20105819,5394290.92362517,7872000,8238000,8266000,11550000,14602000,13403000,12608000,10555000,NA
"335","NORTHERN TECHNOLOGIES INTERNATIONAL CORPORATION","US-MN",3470,"Coating, Engraving & Allied Services",156496.821634053,132048567.112487,17810244.0481794,16372749.5161364,7413712.14757894,6314044.28064765,38213064.0891818,33558.3088021081,78776.6129000894,49112.8202849157,-26975.3261489836,-119886.525141666,-100385.936641111,59355.3924390596,-130404.597620979,-136886.252681481,-100098.966255325,-29832.3485971856,-11405.075847125,434410,927112,1615750,858586,1025044,980217,1242527,1008265,-128644,905435,4515,-234351,-107789,917373,23148.8587749513,297639,386966,1352416,11233.0903174352,1083626,1332847,2142752,7658.13271914988,1497059,1401568,1482149,21476.3197561512,1212550,-138293.70500873,-74673.3973318966,96684.232162067,138546.408277317,155053.030208361,559579.135811799,53724.9075105847,4493759,NA
"336","FUELCELL ENERGY, INC.","US-CT",3620,"Electrical Industrial Apparatus",619202151.512289,584420855.41572,17810315.8950444,171099471.53555,158798433.85062,188897741.886554,318799109.550665,148898302.141682,-781782.688772101,1355456.48406537,6738947.52515784,-237297.078340959,-531669.789763213,3957464.92517483,1131700.24151727,-2224406.00325497,-620981.342056351,606511.833974272,753673.177550839,-7365000,-5612000,-2818580.36161908,-10604000,-15843000,-6978000,-140045.908359993,-4066000,-9894000,-6539000,-2318378.27898333,-11712000,-15373000,-11010000,-23974178.1582427,-13685000,-13238000,-17001000,-6252096.67918185,-4183000,-13174000,-15881000,-14096000,-17548000,-19530000,-5311000,-35179000,-3126605.30731285,-31972064.002166,-60431899.9822547,-18856000,-45960000,-18917000,-11997000,-857073.138160231,-40624000,NA
"337","UNIVERSAL INSURANCE HOLDINGS, INC.","US-FL",6331,"Fire, Marine & Casualty Insurance",580753999.95636,734589999.957485,-717999999.744517,-81017098.4973845,1448359.96986661,2140157.82379123,7931858.3135332,5132450.80753838,6635631.76147403,5258827.57435211,5187835.32237177,6399306.91160577,5771125.19252294,3281811.05156348,3904624.87645693,5518728.78286151,6658038.87806715,5185908.8950553,6722697.61157921,11959000,17029000,14407000,15582000,13549000,17126000,21341000,20972000,22330000,24704000,30298000,29152000,25226000,33647000,26882000,13655000,31199000,29376000,9964000,36396000,40055000,46084000,37380000,-6468000,40148000,37293000,20146000,-51073000,20067000,19882000,-3169000,-17675000,26408000,21941000,20183000,-48125000,NA
"338","FORWARD AIR CORPORATION","US-TN",4731,"Arrangement of  Transportation of  Freight & Cargo",579462295.869457,732088609.664237,-711967417.825366,-80427568.7509643,1453822.99746715,2147695.47938788,7952405.54342688,5146789.26925011,6655017.02440888,5275944.98613807,5202447.49158941,6416509.04793775,5790731.08897925,3295975.92324933,3919489.63895472,5536892.19320381,6679904.03489548,5198577.72385186,6742453.28834727,10855000,13831000,14197000,15584000,10202000,17178000,16744000,17045000,4836000,11824000,15687000,23228000,13099000,-10066000,11931000,12706000,14581000,19666000,18328000,34681000,17741000,24298000,22329000,27684000,18407000,22330000,22195000,24168000,1050426.67419961,2120853.42956802,6311477.99096186,-4443000,11181000,30677000,23536000,6766068.2860398,NA
"339","UFP INDUSTRIES, INC.","US-MI",2421,"Sawmills & Planting Mills, General",125993872.398552,70699551.5231507,-2081065.80468895,-76360.8119744603,13445463.8816077,20034713.4188445,46351954.2793266,33920554.7032235,48308809.7267767,47452965.931839,34838076.8135432,39739341.8806843,57605171.0953364,56746978.7306043,49623376.3003175,51166986.303311,61960398.559121,27085882.4880764,49539020.3120927,5224000,15772000,14091000,7995000,7216000,21789000,19234000,9312000,10162000,25976000,25556000,18901000,19212000,33398000,27819000,20750000,21062000,33642000,33693000,31115000,32833000,44044000,41219000,30502000,35540000,54515000,51859000,37736000,40159000,66463000,77204000,62952000,103311000,173382000,121041000,137906000,NA
"340","Unity Bancorp, Inc.","US-NJ",6022,"State Commercial Banks",64142869.4872006,132048482.934411,17810315.8950444,16372801.7775358,5067000.00013283,4404000.00009334,5249000.00092664,2564104.48338858,2168702.89545007,1863526.24452616,2838070.37768853,1480523.03081801,3009778.9440689,2888354.45868308,2663711.90647996,2724374.57283045,2856367.4457534,2531066.32850044,2967948.29096245,1200000,1347000,1302000,1266000,1293000,1528000,1886000,1701000,1939000,2428000,2551000,2639000,4205000,2824000,3020000,3160000,3192000,3444000,3757000,2500000,5229000,5397000,5490000,5803000,5740000,5834000,5959000,6120000,5368000,5171000,5760000,7345000,8496000,8418000,9459000,9746000,NA
"341","ADTRAN Holdings, Inc.","US-AL",3661,"Telephone & Telegraph Apparatus",580753999.95636,734589999.957485,-717999999.744517,-81017098.4973845,1448359.96986661,2140157.82379123,7931858.3135332,5132450.80753838,6635631.76147403,5258827.57435211,5187835.32237177,6399306.91160577,5771125.19252294,3281811.05156348,3904624.87645693,5518728.78286151,6658038.87806715,5185908.8950553,6722697.61157921,7890000,9859000,16205000,11840000,9607000,14395000,11326000,9292000,3317000,2544000,7067000,5718000,5014000,10228000,12415000,7572000,6651000,12401000,15898000,-11110000,-10814000,-7670000,7589000,-8447000,770000,3995000,-46123000,-11624000,1045623.44824292,2114841.14595626,6293086.33287658,7716919.14316375,896000,5086000,-10427000,6736843.80376247,NA
"342","Income Opportunity Realty Investors, Inc.","US-TX",6798,"Real Estate Investment Trusts",-19932.9087481229,132048482.937058,17810315.8927859,16372801.775893,8761558.97596444,7827941.78056657,38213087.0770525,146206.328578764,87228.6478668716,50003.756759917,-31316.8578930606,-112973.614775984,-87149.0026428364,59178.3334457052,-133091.33378608,-129190.8559627,-99327.678706236,-28531.946600424,-9805.98254584022,695000,646000,625000,3552000,559000,695000,623000,-318000,554000,603000,680000,-338000,893000,743000,727000,-282000,737000,1009000,612000,-850000,702000,707000,5988000,813000,970000,1087000,1030000,1058000,841000,1265000,761000,1347000,1352000,819000,712000,715000,NA
"343","INGREDION INCORPORATED","US-IL",2040,"Grain Mill Products",125993814.282031,70699501.5583617,-2081061.76951388,-76359.2948922471,13445472.5443837,20034726.6669733,46351978.9499884,33920573.9676485,48308838.616939,47452997.3408902,34838096.7683116,39739363.7349633,57605211.0043921,56747027.2006027,49623414.1703358,51167020.6033918,61960440.2047366,27085895.9475075,49539050.1231798,1.11e+08,9.5e+07,8.6e+07,1.04e+08,7.3e+07,1.03e+08,1.19e+08,6.1e+07,8.4e+07,1.07e+08,1.08e+08,1.04e+08,1.3e+08,1.17e+08,1.43e+08,9.4e+07,1.24e+08,1.3e+08,1.66e+08,9.9e+07,1.4e+08,1.14e+08,9.5e+07,9.4e+07,1e+08,1.05e+08,9.9e+07,1.09e+08,7.5e+07,6.6e+07,9.2e+07,1.15e+08,-2.46e+08,1.78e+08,1.18e+08,6.7e+07,NA
"344","Immersion Corporation","US-FL",3577,"Computer Peripheral Equipment, NEC",64142898.7918791,132048529.922387,17810275.7891937,16372772.6043028,-2729998.25364055,-11581988.7886011,38213074.645824,-9657989.31909976,-146977.821803322,25289.1656502295,89108.0938496234,-307814.954563094,-468080.225286168,64069.2570927786,-58901.143063957,-346977.212182411,-120764.401486563,-64638.4427389386,-54194.8722276877,1687000,466000,599000,37403000,1864000,169000,1073000,1017000,-59000,1595000,184000,1138000,-2695000,-5556000,7018000,-38148000,-12865000,-14845000,-5287000,-12294000,69883000,-7758000,-4640000,-3142000,-11016000,-8620000,-1387000,979000,-1090750.04307359,-1236159.80291986,-257601.670901889,-536583.369894457,-418093.175492725,-653283.969089767,3771000,-540854.288224523,NA
"345","HOPE BANCORP, INC.","US-CA",6021,"National Commercial Banks",125993816.777799,70699503.7038394,-2081061.94281201,-76359.3600447005,13445472.1725765,20034726.0983917,46351977.891325,33920573.1409585,48308837.3769989,47452995.9928516,34838095.9119871,39739362.7969966,57605209.2916103,56747025.1201345,49623412.5448945,51167019.1313749,61960438.4173253,27085895.3698113,49539048.8438096,17461000,22671000,23552000,18071000,22196000,22312000,21420000,22687000,21357000,22940000,25092000,22869000,23622000,23390000,26105000,40630000,36210000,40687000,44564000,17984000,51232000,47530000,46378000,44449000,42758000,42681000,42592000,43009000,12109234.9165196,12947632.9894804,45765940.8889872,57937117.217759,43687000,53763000,55499000,51623000,NA
"346","Cross Country Healthcare, Inc","US-FL",7363,"Services-Help Supply Services",64143465.6593375,132049438.853381,17809500.0053927,16372208.2917638,-2729964.49296191,-11581772.0224197,38212834.1650247,-9657782.85452804,-146966.723476538,25298.5406904768,89117.1927589791,-307802.958631137,-468067.356567216,64076.6519790356,-58892.5844667069,-346965.538323774,-120753.432841275,-64628.7450142839,-54184.1946501035,1158000,-1457000,914000,-52584000,-782000,-3181000,-7602000,-20218000,2934000,2573000,5009000,-6098000,19022000,-17237000,14066000,-7884000,-2010000,4850000,6723000,27950000,1642000,1539000,-441000,-19691000,-1767000,-51674000,-3128000,-1144000,-2089000,-14151000,-1334000,4612000,19448000,11548000,23433000,77573000,NA
"347","NORTHRIM BANCORP, INC.","US-AK",6035,"Savings Institution, Federally Chartered",64142869.4872006,132048482.934411,17810315.8950444,16372801.7775358,5067000.00013283,4404000.00009334,5249000.00092664,2564104.48338858,2168702.89545007,1863526.24452616,2838070.37768853,1480523.03081801,3009778.9440689,2888354.45868308,2663711.90647996,2724374.57283045,2856367.4457534,2531066.32850044,2967948.29096245,2674000,3496000,3474000,2681000,2658000,4369000,3707000,6674000,3561000,4781000,5335000,4106000,3376000,4350000,3095000,3590000,3825000,3589000,5523000,214000,4062000,5830000,5264000,4848000,4312000,4261000,7538000,4580000,3042920.45135811,2877803.71305053,5153480.44896107,6523516.89863438,12181000,8345000,8877000,8114000,NA
"348","United States Oil Fund, LP","US-CA",6221,"Commodity Contracts Brokers & Dealers",64142869.4872009,132048482.934412,17810315.8950444,16372801.7775358,8795417.92054836,7866853.8882594,38213087.0777525,19225008.5948446,-51617999.9248011,4557688.32580074,101831.711747984,-386722.823628687,19451209.5797235,-479599998.871504,22493366.9550751,11225169.4392068,-1290278.05673125,10799999.9965668,23772103.415201,45085571,-7308291,64699853,-28509577,29579359,32061691,-79777495,-471136789,-276690243,505259352,-677004421,-839977608,-178972992,641426881,-84354861,288453782,-253155304,-258773151,265809881,325090971,170897874,253227806,48484300,-763884625,420897668,-25593536,-83218477,161370049,-1617373490,-927063161,83890552,555364520,721469107,654237493,134666389,91901255,NA
"349","LIMONEIRA COMPANY","US-CA",100,"Agricultural Production-Crops",570967532.625258,724929388.145495,-660380604.248369,-75828915.4244704,1409416.77892943,2056807.49529472,8029195.21225513,4922849.63874768,6495368.24821262,5163182.42600304,5096527.98167535,6258016.5964279,5641257.35737038,3233446.33576347,3838913.79082843,5400977.36817043,6518465.00923895,5088493.02456982,6584719.90254589,2505000,6607000,7279419.67671037,-1219000,2113000,8932000,14671124.6887107,-1448000,2563000,5313000,7806615.38801562,-3912000,1222000,10729000,7724400.27264823,-2072000,3540000,7777000,7222696.85623666,8625000,6599000,8201000,13689525.5103437,-4693000,2815000,-990000,5534775.09229727,-6427000,1024994.51731815,2069525.2851556,6157193.9760763,-4208000,1933000,3705000,10586522.8634632,-6518000,NA
"350","Hanesbrands Inc.","US-NC",5600,"Retail-Apparel & Accessory Stores",125993814.284339,70699501.5603458,-2081061.76967414,-76359.2949524985,13445472.5440399,20034726.6664475,46351978.9490094,33920573.966884,48308838.6157924,47452997.3396436,34838096.7675197,39739363.7340959,57605211.0028082,56747027.1986788,49623414.1688326,51167020.6020306,61960440.2030836,27085895.9469733,49539050.1219968,41560000,154578000,118944000,32266000,52636000,94902000,162154000,89437000,52636000,94902000,162154000,119163000,80269000,128143000,173858000,157112000,70617000,172532000,203356000,-384611000,78802000,140027000,170809000,150028000,81088000,149555000,185091000,184986000,12109235.274593,12947633.2857643,45765942.0616033,-332164000,-263262000,128676000,151777000,60033000,NA
"351","United States Natural Gas Fund, LP","US-CA",6221,"Commodity Contracts Brokers & Dealers",64143705.1408706,132049611.451206,17810315.8950445,16373022.8467817,8795564.91431349,7866998.52836591,38213552.9525784,19225234.9376591,-51616837.5561046,4557658.56912237,101846.177606966,-386721.945479366,19450742.830981,-479575336.525427,22493000.1730587,11224868.1682301,-1290273.50066431,10799844.1814908,23771670.6208056,164120955,-120450613,-15893732,129323259,152821071,13921661,-66767128,-277126085,-43410328,31935323,-88635043,-145030975,-115057128,151653622,-20107439,82243127,-94878439,-45219720,-12033128,-41312688,11097621,19334318,19571623,60033900,-662758,-40622275,16097037,-52429258,-132888937,-72716711,53354021,-50564142,28791269,75726322,134000738,-220118128,NA
"352","United States Gasoline Fund, LP","US-CA",6221,"Commodity Contracts Brokers & Dealers",64142869.8925039,132048483.584286,17810315.340353,16372801.37405,8795417.86406424,7866853.84452817,38213086.9058104,19225008.4811225,-51617998.7794298,4557688.32435241,101831.718220811,-386722.81458456,19451209.4862465,-479599985.731543,22493366.8147843,11225169.4038351,-1290278.03906048,10799999.9629238,23772103.299145,3728234,-7060884,2662100,3631297,-912582,3141041,-6637563,-22691637,2319723,16886559,-23030119,-5359343,-8113755,1226777,4221704,7788472,-9350705,-6825037,9727638,6681750,384904,2844669,1872251,-16565874,10150232,2098838,-2345536,3462885,-24047486,44947758,6774629,14831640,23637937,15221567,4721655,4675929,NA
"353","United States 12 Month Natural Gas Fund, LP","US-CA",6221,"Commodity Contracts Brokers & Dealers",64142869.4872007,132048482.934411,17810315.8950444,16372801.7775358,-2729999.99894671,-11581999.9946761,38213087.0777525,-9657999.99262838,-146978.395543037,25288.6809978495,89107.6234720229,-307815.574706145,-468080.89054944,64068.8748063656,-58901.585509652,-346977.815675389,-120764.968522186,-64638.9440729728,-54195.4242162391,5076144,-2953211,-416878,2383547,2096608,15362,-1369423,-4714528,-1341500,628660,-1907314,-1928259,-1364350,2630523,-705640,2308891,-1910579,-559826,-11573,-664505,50826,130128,-34618,420807,112993,-624751,-120661,-181907,-322713,-88075,771001,-575093,99514,2178035,4581443,-3699327,NA
"354","United States 12 Month Oil Fund, LP","US-CA",6221,"Commodity Contracts Brokers & Dealers",64142869.4873589,132048482.934665,17810315.8948282,16372801.7773786,8795417.92053149,7866853.88824827,38213087.0776855,19225008.5948163,-51617999.924384,4557688.32580147,101831.711750509,-386722.823625172,19451209.5796972,-479599998.866803,22493366.9550314,11225169.4391979,-1290278.05672456,10799999.996558,23772103.4151675,3240912,-2501871,5687856,-848653,1491341,3912676,-6540319,-17669771,-5217256,8713790,-19286166,-12165314,1353809,19739794,-2911692,11191454,-11146943,-9895724,9832876,12931746,6464056,9563589,5243001,-26778673,13369839,-1740152,-4163002,6967640,-25119958,98276691,9562502,26000109,41440395,40572896,7110614,4212534,NA
"355","HOME BANCORP, INC.","US-LA",6036,"Savings Institutions, Not Federally Chartered",64142869.4872006,132048482.934411,17810315.8950444,16372801.7775358,5067000.00013283,4404000.00009334,5249000.00092664,2564104.48338858,2168702.89545007,1863526.24452616,2838070.37768853,1480523.03081801,3009778.9440689,2888354.45868308,2663711.90647996,2724374.57283045,2856367.4457534,2531066.32850044,2967948.29096245,1861000,1243000,2483000,1707000,1434000,2753000,2876000,2809000,2848000,2841000,2898000,3963000,3350000,4016000,4360000,4282000,5005701,4486000,4091000,3242000,7463000,7776000,8262000,8089000,7890000,6580000,6856000,6606000,2482000,2921000,8782000,10580000,11928000,11396000,15059000,10238000,NA
"356","Tandem Diabetes Care, Inc.","US-CA",3841,"Surgical & Medical Instruments & Apparatus",619203999.952278,584421999.970051,17810315.8950444,171099999.980764,158799999.9588,188899999.945871,318799999.929864,148899999.962166,-781783.644606463,1355458.89376183,6738970.10735251,-237296.986286934,-531669.874574382,3957475.78314307,1131702.2903332,-2224409.85449146,-620982.064693114,606512.817958776,753674.414506614,-11163000,-15301000,-13061000,-23614000,-21961000,-19197000,-19901000,-18465000,-21208000,-19533000,-19585000,-12093000,-20485000,-18326000,-29815000,-14822000,-23792000,-21801000,-16034000,-11406000,-32693000,-59359000,-34245000,3686000,-22992000,-1512000,-2901000,2652000,-14867000,-27107000,-9408000,1.7e+07,-5044000,4008000,5794000,10808000,NA
