year,cik,entityName,loc,sicDescription,pred_cluster,yearly_gross
2021,1441236,CLEARWATER PAPER CORPORATION,US-WA,Paperboard Mills,1,-0.35700000000000104
2022,720005,"RAYMOND JAMES FINANCIAL, INC.",US-FL,"Security Brokers, Dealers & Flotation Companies",3,14.34
2022,1571996,Dell Technologies Inc.,US-TX,Electronic Computers,7,20.72999999999997
2023,785956,J&J SNACK FOODS CORP.,US-NJ,Cookies & Crackers,6,0.2703400000000003
2024,849401,"ADM TRONICS UNLIMITED, INC.",US-NJ,Electromedical & Electrotherapeutic Apparatus,1,-0.0012321099999999998
2023,100726,"UNIFI, INC.",US-NC,Textile Mill Products,1,-0.5358900000000001
2024,14693,Brown-Forman Corporation,US-KY,Beverages,2,10.079999999999991
2021,91767,SONOCO PRODUCTS COMPANY,US-SC,Paperboard Containers & Boxes,1,3.3379600000000003
2022,1634117,"BARNES & NOBLE EDUCATION, INC.",US-NJ,Retail-Miscellaneous Shopping Goods Stores,6,-0.66568
2021,1046050,"TIMBERLAND BANCORP, INC.",US-WA,"Savings Institutions, Not Federally Chartered",8,0.25778
2022,31667,EDUCATIONAL DEVELOPMENT CORPORATION,US-OK,Wholesale-Miscellaneous Nondurable Goods,6,-0.002612999999999989
2023,1049521,"MERCURY SYSTEMS, INC.",US-MA,Electronic Components & Accessories,7,-0.7197700000000012
2022,1633978,Lumentum Holdings Inc.,US-CA,"Communications Equipment, NEC",7,0.199
2022,882835,"ROPER TECHNOLOGIES, INC.",US-FL,"Industrial Instruments For Measurement, Display, and Control",1,45.44699999999999
2021,712770,"ONE LIBERTY PROPERTIES, INC.",US-NY,Real Estate Investment Trusts,3,0.3885699999999999
2024,100493,"TYSON FOODS, INC.",US-AR,Poultry Slaughtering and Processing,1,8.85999999999999
2021,1157408,"Stride, Inc.",US-VA,Services-Educational Services,9,0.8369900000000001
2021,38777,"FRANKLIN RESOURCES, INC.",US-CA,Investment Advice,3,17.11799999999997
2023,1117297,"QuinStreet, Inc.",US-CA,"Services-Business Services, NEC",9,-0.23077000000000003
2023,1497253,"Organovo Holdings, Inc.",US-CA,"Biological Products, (No Diagnostic Substances)",2,-0.1489
2024,109563,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",US-OH,"Wholesale-Machinery, Equipment & Supplies",1,3.7978700000000023
2022,1570132,"ANVI GLOBAL HOLDINGS, INC.",US-NC,Retail-Food Stores,6,-0.00229205
2023,867840,"PRECISION OPTICS CORPORATION, INC.",US-MA,Electromedical & Electrotherapeutic Apparatus,1,-0.02020081
2021,1634117,"BARNES & NOBLE EDUCATION, INC.",US-NJ,Retail-Miscellaneous Shopping Goods Stores,6,-1.0619000000000018
2023,1314052,ANAVEX LIFE SCIENCES CORP.,US-NY,"Biological Products, (No Diagnostic Substances)",2,-0.4428899999999999
2024,1050825,STEELCASE INC,US-MI,Office Furniture (No Wood),1,1.1440000000000001
2021,66004,MIDDLESEX WATER COMPANY,US-NJ,Water Supply,0,0.36543000000000003
2022,1409375,"Orion Energy Systems, Inc.",US-WI,Electric Lighting & Wiring Equipment,1,-0.30405
2022,1230245,PIPER SANDLER COMPANIES,US-MN,"Security Brokers, Dealers & Flotation Companies",3,1.106739999999999
2022,1327068,"United States Oil Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,7.852402769999979
2022,25895,"Crown Crafts, Inc.",US-LA,"Broadwoven Fabric Mills, Cotton",1,0.08644
2024,896156,Ethan Allen Interiors Inc.,US-CT,"Wood Household Furniture, (No Upholstered)",1,0.5562900000000001
2021,9092,"BADGER METER, INC.",US-WI,Totalizing Fluid Meters & Counting Devices,1,0.60884
2024,867840,"PRECISION OPTICS CORPORATION, INC.",US-MA,Electromedical & Electrotherapeutic Apparatus,1,-0.02915038000000001
2021,1381668,TFS FINANCIAL CORPORATION,US-OH,"Savings Institution, Federally Chartered",8,0.71111
2024,1609258,PETROGAS COMPANY,US-TX,Crude Petroleum & Natural Gas,0,-0.00073881
2024,800240,The ODP Corporation,US-FL,Retail-Miscellaneous Shopping Goods Stores,6,-0.030000000000000002
2023,1410738,VoIP-PAL.COM INC.,US-TX,Telephone & Telegraph Apparatus,7,-0.43801801
2024,57515,Lancaster Colony Corporation,US-OH,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",6,1.3404300000000011
2022,1074828,"KNOW LABS, INC.",US-WA,Finance Services,9,-0.1597016899999999
2022,1604778,"Qorvo, Inc.",US-NC,Semiconductors & Related Devices,7,4.578309999999999
2022,37785,FMC CORPORATION,US-PA,Chemicals & Allied Products,2,7.3649999999999896
2022,1032220,"Maximus, Inc.",US-VA,"Services-Business Services, NEC",9,1.5276100000000001
2023,1040470,AEHR TEST SYSTEMS,US-CA,Instruments For Meas & Testing of  Electricity & Elec Signals,7,0.1902700000000001
2023,823277,CHS Inc.,US-MN,Wholesale-Farm Product Raw Materials,1,19.10241999999998
2021,1083743,"FLUX POWER HOLDINGS, INC.",US-CA,"Miscellaneous Electrical Machinery, Equipment & Supplies",1,-0.13192
2021,1530950,"Post Holdings, Inc.",US-MO,Grain Mill Products,1,-0.19500000000000012
2022,720875,Dynatronics Corporation,US-MN,Surgical & Medical Instruments & Apparatus,1,-0.04381281
2022,1262104,"MEI Pharma, Inc.",US-CA,Pharmaceutical Preparations,2,-0.23821000000000003
2021,789019,MICROSOFT CORPORATION,US-WA,Services-Prepackaged Software,5,701.84
2022,912603,"RADIUS RECYCLING, INC.",US-OR,Wholesale-Misc Durable Goods,6,0.15848
2022,1628908,"Evolent Health, Inc.",US-VA,Services-Management Services,9,-0.056920000000000005
2021,785956,J&J SNACK FOODS CORP.,US-NJ,Cookies & Crackers,6,0.2633600000000004
2023,1308547,"DOLBY LABORATORIES, INC.",US-CA,Patent Owners & Lessors,1,1.954749999999999
2023,1570585,Liberty Global Ltd.,BM-,Cable & Other Pay Television Services,9,-40.51699999999989
2022,1141103,"Cross Country Healthcare, Inc",US-FL,Services-Help Supply Services,9,1.88461
2023,55242,KENNAMETAL INC.,US-PA,"Machine Tools, Metal Cutting Types",1,1.17039
2023,1544190,"SHEPHERD’S FINANCE, LLC",US-FL,Short-Term Business Credit Institutions,8,0.02578
2023,36840,"FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY, INC.",US-NJ,Real Estate Investment Trusts,3,-0.001710000000000001
2021,1403475,Bank of Marin Bancorp,US-CA,State Commercial Banks,4,0.3322800000000002
2024,1618921,"WALGREENS BOOTS ALLIANCE, INC.",US-IL,Retail-Drug Stores and Proprietary Stores,6,-54.8499999999998
2022,1613103,Medtronic plc,IE-,Electromedical & Electrotherapeutic Apparatus,1,40.579999999999984
2022,1227654,"Compass Minerals International, Inc.",US-KS,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),0,-0.282
2022,763532,LSI INDUSTRIES INC.,US-OH,Electric Lighting & Wiring Equipment,1,0.21473
2021,1530721,CAPRI HOLDINGS LTD,GB-,Leather & Leather Products,1,9.19999999999998
2023,23217,"CONAGRA BRANDS, INC.",US-IL,Food and Kindred Products,6,11.686999999999959
2023,1350593,"MUELLER WATER PRODUCTS, INC.",US-GA,Miscellaneous Fabricated Metal Products,1,0.846
2023,946673,BANNER CORPORATION,US-WA,State Commercial Banks,4,1.83624
2021,1050825,STEELCASE INC,US-MI,Office Furniture (No Wood),1,0.12800000000000006
2021,1048911,FedEx Corporation,US-TN,Air Courier Services,9,39.4
2022,1472494,"United States Brent Oil Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,0.8257075899999979
2023,915840,"BEAZER HOMES USA, INC.",US-GA,Operative Builders,1,1.44069
2023,825324,Good Times Restaurants Inc.,US-CO,Retail-Eating  Places,6,0.11749
2024,1141103,"Cross Country Healthcare, Inc",US-FL,Services-Help Supply Services,9,0.16877999999999999
2021,1074871,"MODULAR MEDICAL, INC.",US-CA,Surgical & Medical Instruments & Apparatus,1,-0.159287
2022,1177609,"Five Below, Inc.",US-PA,Retail-Variety Stores,6,2.6152799999999994
2022,1096752,EDGEWELL PERSONAL CARE COMPANY,US-CT,"Perfumes, Cosmetics & Other Toilet Preparations",2,1.004000000000001
2024,1403475,Bank of Marin Bancorp,US-CA,State Commercial Banks,4,-0.08408999999999989
2021,108385,WORLD ACCEPTANCE CORPORATION,US-SC,Personal Credit Institutions,8,0.80421
2022,109380,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",US-UT,National Commercial Banks,4,9.06999999999997
2023,1383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",US-NY,"Services-Business Services, NEC",9,5.581999999999999
2024,1324948,RBC BEARINGS INCORPORATED,US-CT,Ball & Roller Bearings,1,2.201000000000001
2023,1050743,PEAPACK-GLADSTONE FINANCIAL CORPORATION,US-NJ,"Commercial Banks, NEC",4,0.4885400000000001
2022,80424,PROCTER & GAMBLE CO,US-OH,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",2,145.8199999999996
2022,788329,Johnson Outdoors Inc.,US-WI,"Sporting & Athletic Goods, NEC",1,0.4328799999999995
2021,1579877,OUTFRONT Media Inc.,US-NY,Real Estate Investment Trusts,3,-0.02400000000000002
2023,1610250,"Boot Barn Holdings, Inc.",US-CA,Retail-Shoe Stores,6,1.70329
2022,849146,LIFEVANTAGE CORP,US-UT,Pharmaceutical Preparations,2,-0.007230000000000001
2024,794619,American Woodmark Corp,US-VA,"Millwood, Veneer, Plywood, & Structural Wood Members",1,0.95117
2023,1092796,"Smith & Wesson Brands, Inc.",US-TN,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",1,-1.9055599999999973
2021,1397016,"OPTEX SYSTEMS HOLDINGS, INC.",US-TX,Optical Instruments & Lenses,1,0.021750000000000002
2021,100726,"UNIFI, INC.",US-NC,Textile Mill Products,1,0.27786
2023,723254,Cintas Corporation,US-OH,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",1,14.11351999999999
2024,825324,Good Times Restaurants Inc.,US-CO,Retail-Eating  Places,6,0.03424
2021,63296,MATTHEWS INTERNATIONAL CORP,US-PA,Nonferrous Foundries (Castings),1,-0.08104
2024,720005,"RAYMOND JAMES FINANCIAL, INC.",US-FL,"Security Brokers, Dealers & Flotation Companies",3,20.59999999999996
2022,1163370,"NORTHRIM BANCORP, INC.",US-AK,"Savings Institution, Federally Chartered",8,0.30741000000000007
2023,880641,"EAGLE FINANCIAL SERVICES, INC.",US-VA,State Commercial Banks,4,0.09357
2023,704172,"PHI GROUP, INC.",US-CA,Services-Management Services,9,-0.08259266
2023,1396878,"United States Gasoline Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,0.005390559999999905
2022,1375348,GOLDEN STAR RESOURCE CORP.,US-NV,Miscellaneous Metal Ores,1,-0.00047409000000000004
2023,313143,HAEMONETICS CORPORATION,US-MA,Surgical & Medical Instruments & Apparatus,1,1.30135
2024,1069899,Phibro Animal Health Corporation,US-NJ,Pharmaceutical Preparations,2,0.2697
2023,6845,"APOGEE ENTERPRISES, INC.",US-MN,"Glass Products, Made of  Purchased Glass",1,1.07642
2022,720154,"INOTIV, INC.",US-IN,Services-Commercial Physical & Biological Research,9,-1.0086600000000001
2021,1171155,"RADIANT LOGISTICS, INC.",US-WA,Arrangement of  Transportation of  Freight & Cargo,1,0.22792
2024,1327068,"United States Oil Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,2.2111819099999988
2022,313143,HAEMONETICS CORPORATION,US-MA,Surgical & Medical Instruments & Apparatus,1,1.0925
2022,879407,"Arrowhead Pharmaceuticals, Inc.",US-CA,Pharmaceutical Preparations,2,-0.54444
2021,37785,FMC CORPORATION,US-PA,Chemicals & Allied Products,2,7.39599999999999
2023,909832,COSTCO WHOLESALE CORP /NEW,US-WA,Retail-Variety Stores,6,54.95
2024,1209709,CERES TACTICAL SYSTEMATIC L.P.,US-NY,Commodity Contracts Brokers & Dealers,3,0.02620272
2022,889971,"LIGHTPATH TECHNOLOGIES, INC.",US-FL,Semiconductors & Related Devices,7,-0.030647670000000002
2021,1141103,"Cross Country Healthcare, Inc",US-FL,Services-Help Supply Services,9,1.32002
2021,1472494,"United States Brent Oil Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,1.574589699999998
2024,1336917,"UNDER ARMOUR, INC.",US-MD,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,1,-1.27241999999999
2022,936395,Ciena Corp,US-MD,Telephone & Telegraph Apparatus,7,1.3618699999999988
2022,1371451,"HIGHWATER ETHANOL, LLC",US-MN,Industrial Organic Chemicals,2,0.1955589400000001
2024,829224,Starbucks Corporation,US-WA,Retail-Eating & Drinking Places,6,36.62799999999997
2024,1405513,"United States 12 Month Natural Gas Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,-0.012194739999999999
2022,65270,"METHODE ELECTRONICS, INC.",US-IL,Electronic Connectors,7,0.8520000000000001
2021,1346022,Enertopia Corporation,CA-BC,Metal Mining,1,-0.00593576
2021,1628908,"Evolent Health, Inc.",US-VA,Services-Management Services,9,-0.4499400000000001
2024,879526,WABASH NATIONAL CORPORATION,US-IN,Truck Trailers,1,-2.84071
2021,1598665,"Heritage Insurance Holdings, Inc.",US-FL,"Fire, Marine & Casualty Insurance",1,-0.74726
2023,50292,IEH Corporation,US-NY,Electronic Connectors,7,-0.04180959
2022,14846,BRT APARTMENTS CORP.,US-NY,Real Estate Investment Trusts,3,0.49954999999999994
2024,50292,IEH Corporation,US-NY,Electronic Connectors,7,-0.0034846299999999994
2022,862668,Escalon Medical Corp.,US-PA,Electromedical & Electrotherapeutic Apparatus,1,-0.00968215
2023,779544,ARK RESTAURANTS CORP.,US-NY,Retail-Eating  Places,6,0.07275999999999999
2023,1549966,Silvercrest Asset Management Group Inc.,US-NY,Investment Advice,3,0.09094
2023,69422,THE INTERGROUP CORPORATION,US-CA,Operators of  Apartment Buildings,9,-0.03485
2022,1405513,"United States 12 Month Natural Gas Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,0.03632266000000019
2022,1538495,"EARTH SCIENCE TECH, INC.",US-FL,Pharmaceutical Preparations,2,-0.00160577
2024,730464,Adtalem Global Education Inc.,US-IL,Services-Educational Services,9,1.95663
2023,1128361,"HOPE BANCORP, INC.",US-CA,National Commercial Banks,4,1.336730000000001
2021,36840,"FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY, INC.",US-NJ,Real Estate Investment Trusts,3,0.33105
2021,1157075,"PHARMACYTE BIOTECH, INC.",US-NV,"Biological Products, (No Diagnostic Substances)",2,-0.03573550000000001
2023,1359841,Hanesbrands Inc.,US-NC,Retail-Apparel & Accessory Stores,6,-0.17725999999999897
2022,1175535,Whitestone REIT,US-TX,Real Estate Investment Trusts,3,0.3526999999999999
2022,866273,MATRIX SERVICE CO,US-OK,Construction - Special Trade Contractors,1,-0.6499600000000001
2024,1403161,VISA INC.,US-CA,"Services-Business Services, NEC",9,195.2599999999999
2024,725363,CEL-SCI CORPORATION,US-VA,"Biological Products, (No Diagnostic Substances)",2,-0.28031069
2024,100726,"UNIFI, INC.",US-NC,Textile Mill Products,1,-0.33302999999999994
2024,1165002,"WESTWOOD HOLDINGS GROUP, INC.",US-TX,Investment Advice,3,-0.030129999999999997
2023,32621,EMERSON RADIO CORP,US-NJ,Household Audio & Video Equipment,7,0.01408
2021,915840,"BEAZER HOMES USA, INC.",US-GA,Operative Builders,1,1.33683
2023,1324948,RBC BEARINGS INCORPORATED,US-CT,Ball & Roller Bearings,1,1.846000000000002
2024,913778,BF GARDEN TAX CREDIT FUND IV L.P.,US-MA,Operators of  Apartment Buildings,9,0.00250212
2022,867840,"PRECISION OPTICS CORPORATION, INC.",US-MA,Electromedical & Electrotherapeutic Apparatus,1,0.0012214599999999997
2024,34563,FARMER BROTHERS CO,US-TX,Miscellaneous Food Preparations & Kindred Products,2,-0.061560000000000004
2024,1511737,UBIQUITI INC.,US-NY,Radio & Tv Broadcasting & Communications Equipment,7,4.173629999999998
2021,896878,INTUIT INC.,US-CA,Services-Prepackaged Software,5,17.799999999999958
2024,823277,CHS Inc.,US-MN,Wholesale-Farm Product Raw Materials,1,10.09644999999998
2022,37472,"FLEXSTEEL INDUSTRIES, INC.",US-IA,Household Furniture,1,0.08187000000000011
2021,885275,WILSON BANK HOLDING CO,US-TN,National Commercial Banks,4,0.3933200000000004
2023,109177,"Spectrum Brands Holdings, Inc.",US-WI,"Miscellaneous Electrical Machinery, Equipment & Supplies",1,36.937999999999995
2022,1282648,Battalion Oil Corp,US-TX,Crude Petroleum & Natural Gas,0,0.18538999999999908
2023,730464,Adtalem Global Education Inc.,US-IL,Services-Educational Services,9,1.422750000000001
2021,1000230,OPTICAL CABLE CORPORATION,US-VA,Drawing & Insulating of  Nonferrous Wire,1,-0.05237283
2021,1082733,"VISIUM TECHNOLOGIES, INC.",US-VA,Services-Computer Programming Services,5,-0.08927391000000001
2022,23217,"CONAGRA BRANDS, INC.",US-IL,Food and Kindred Products,6,11.25599999999996
2022,72331,NORDSON CORPORATION,US-OH,"General Industrial Machinery & Equipment, NEC",1,4.97517
2023,80424,PROCTER & GAMBLE CO,US-OH,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",2,147.8299999999995
2024,1497253,"Organovo Holdings, Inc.",US-CA,"Biological Products, (No Diagnostic Substances)",2,-0.14259
2021,1289308,EnerSys,US-PA,"Miscellaneous Electrical Machinery, Equipment & Supplies",1,1.496550000000001
2024,63296,MATTHEWS INTERNATIONAL CORP,US-PA,Nonferrous Foundries (Castings),1,0.09109
2021,316253,"ENZO BIOCHEM, INC.",US-NY,"Biological Products, (No Diagnostic Substances)",2,-0.04376
2021,1382230,"ESSA Bancorp, Inc.",US-PA,"Savings Institutions, Not Federally Chartered",8,0.1690199999999999
2022,1050825,STEELCASE INC,US-MI,Office Furniture (No Wood),1,0.174
2023,1096752,EDGEWELL PERSONAL CARE COMPANY,US-CT,"Perfumes, Cosmetics & Other Toilet Preparations",2,1.0710000000000002
2022,909832,COSTCO WHOLESALE CORP /NEW,US-WA,Retail-Variety Stores,6,54.230000000000004
2023,1066656,CERES CLASSIC L.P.,US-NY,Commodity Contracts Brokers & Dealers,3,0.002888189999999985
2022,355019,FONAR CORPORATION,US-NY,Electromedical & Electrotherapeutic Apparatus,1,0.08861
2023,1320414,SELECT MEDICAL HOLDINGS CORP,US-PA,Services-Hospitals,9,2.4349100000000004
2021,1383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",US-NY,"Services-Business Services, NEC",9,5.39799999999999
2021,1114925,"LANTRONIX, INC.",US-CA,Computer Communications Equipment,7,-0.07052
2022,1493594,"MACOM Technology Solutions Holdings, Inc.",US-MA,Semiconductors & Related Devices,7,1.2354500000000002
2023,707605,AMERISERV FINANCIAL INC /PA/,US-PA,National Commercial Banks,4,-0.033460000000000004
2023,1603345,AGENTIX CORP.,US-CA,"Biological Products, (No Diagnostic Substances)",2,-0.00935794
2024,1022408,ePlus inc.,US-VA,Wholesale-Computers & Peripheral Equipment & Software,1,1.10064
2021,1006028,"PURE Bioscience, Inc.",US-CA,Miscellaneous Chemical Products,2,-0.031200000000000002
2021,706863,"UNION BANKSHARES, INC.",US-VT,State Commercial Banks,4,0.13169999999999998
2023,763532,LSI INDUSTRIES INC.,US-OH,Electric Lighting & Wiring Equipment,1,0.2701699999999998
2024,1106838,"SONNET BIOTHERAPEUTICS HOLDINGS, INC.",US-NJ,Pharmaceutical Preparations,2,-0.09806391
2023,31667,EDUCATIONAL DEVELOPMENT CORPORATION,US-OK,Wholesale-Miscellaneous Nondurable Goods,6,0.0024130000000000124
2024,1297341,KENTUCKY FIRST FEDERAL BANCORP,US-KY,"Savings Institution, Federally Chartered",8,-0.00216
2021,716314,GRAHAM CORP,US-NY,General Industrial Machinery & Equipment,1,-0.0696
2024,8858,"AVNET, INC.",US-AZ,"Wholesale-Electronic Parts & Equipment, NEC",1,3.238769999999999
2024,1230245,PIPER SANDLER COMPANIES,US-MN,"Security Brokers, Dealers & Flotation Companies",3,1.811139999999998
2021,1190370,"INNOVATIVE DESIGNS, INC.",US-PA,Miscellaneous Fabricated Textile Products,1,-0.00229219
2021,712515,ELECTRONIC ARTS INC.,US-CA,Services-Prepackaged Software,5,7.749999999999989
2021,1050743,PEAPACK-GLADSTONE FINANCIAL CORPORATION,US-NJ,"Commercial Banks, NEC",4,0.5662200000000001
2023,1367859,"CITIZENS COMMUNITY BANCORP, INC.",US-WI,"Savings Institution, Federally Chartered",8,0.13058999999999998
2021,880641,"EAGLE FINANCIAL SERVICES, INC.",US-VA,State Commercial Banks,4,0.11021
2022,100493,"TYSON FOODS, INC.",US-AR,Poultry Slaughtering and Processing,1,26.44999999999996
2023,1346022,Enertopia Corporation,CA-BC,Metal Mining,1,-0.02393474
2024,900075,"COPART, INC.",US-TX,Retail-Auto Dealers & Gasoline Stations,6,15.14067999999996
2024,9092,"BADGER METER, INC.",US-WI,Totalizing Fluid Meters & Counting Devices,1,1.24942
2024,746514,New England Realty Associates Limited Partnership,US-MA,Operators of  Apartment Buildings,9,0.15661587
2024,1023731,"8x8, INC.",US-CA,Services-Computer Processing & Data Preparation,5,-0.43033
2024,1624794,"CSW INDUSTRIALS, INC.",US-TX,Adhesives & Sealants,1,1.10812
2023,912767,"UFP INDUSTRIES, INC.",US-MI,"Sawmills & Planting Mills, General",1,5.14312
2021,730464,Adtalem Global Education Inc.,US-IL,Services-Educational Services,9,-0.06486999999999896
2021,1405528,"United States 12 Month Oil Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,0.933364389999999
2024,729986,UNITED BANKSHARES INC/WV,US-WV,State Commercial Banks,4,3.729959999999998
2023,1082733,"VISIUM TECHNOLOGIES, INC.",US-VA,Services-Computer Programming Services,5,-0.03261177
2024,935419,"RCI HOSPITALITY HOLDINGS, INC.",US-TX,Retail-Eating  Places,6,0.04808999999999999
2023,746598,BRADY CORP,US-WI,Miscellaneous Manufacturing Industries,1,1.8697299999999981
2022,1130144,SIERRA BANCORP,US-CA,State Commercial Banks,4,0.33658999999999994
2024,1048911,FedEx Corporation,US-TN,Air Courier Services,9,32.92999999999994
2023,1525306,First America Resources Corporation,US-IL,"Wholesale-Electronic Parts & Equipment, NEC",1,-0.00030776
2023,96885,TEL-INSTRUMENT ELECTRONICS CORP.,US-NJ,Electronic Components & Accessories,7,0.0038657499999999994
2024,1530950,"Post Holdings, Inc.",US-MO,Grain Mill Products,1,4.101000000000001
2022,46619,HEICO CORPORATION,US-FL,Aircraft Engines & Engine Parts,1,3.4311700000000043
2024,313143,HAEMONETICS CORPORATION,US-MA,Surgical & Medical Instruments & Apparatus,1,1.409390000000001
2023,1336917,"UNDER ARMOUR, INC.",US-MD,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,1,3.9983400000000002
2021,107140,"JOHN WILEY & SONS, INC.",US-NJ,Books: Publishing or  Publishing & Printing,6,1.465629999999999
2023,1058811,Immersion Corporation,US-FL,"Computer Peripheral Equipment, NEC",7,0.2066600000000001
2023,73290,"BIOMERICA, INC.",US-CA,In Vitro & In Vivo Diagnostic Substances,2,-0.05939
2023,887343,"COLUMBIA BANKING SYSTEM, INC.",US-WA,State Commercial Banks,4,3.48715
2022,1106838,"SONNET BIOTHERAPEUTICS HOLDINGS, INC.",US-NJ,Pharmaceutical Preparations,2,-0.2950468099999999
2023,1289308,EnerSys,US-PA,"Miscellaneous Electrical Machinery, Equipment & Supplies",1,2.5259400000000003
2023,91767,SONOCO PRODUCTS COMPANY,US-SC,Paperboard Containers & Boxes,1,4.74959
2023,891024,"PATTERSON COMPANIES, INC.",US-MN,"Wholesale-Medical, Dental & Hospital Equipment & Supplies",1,1.72824
2024,1165320,GB SCIENCES INC,US-NV,Crude Petroleum & Natural Gas,0,-0.00763175
2024,909832,COSTCO WHOLESALE CORP /NEW,US-WA,Retail-Variety Stores,6,68.41
2023,834071,TOYOTA MOTOR CREDIT CORPORATION,US-TX,Personal Credit Institutions,8,14.94999999999997
2021,109563,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",US-OH,"Wholesale-Machinery, Equipment & Supplies",1,2.2212099999999984
2022,1567514,"Intra-Cellular Therapies, Inc.",US-NJ,Pharmaceutical Preparations,2,-1.6233140400000001
2021,1403161,VISA INC.,US-CA,"Services-Business Services, NEC",9,121.34999999999991
2022,713425,"LOGILITY SUPPLY CHAIN SOLUTIONS, INC.",US-GA,Services-Prepackaged Software,5,0.0218
2022,785956,J&J SNACK FOODS CORP.,US-NJ,Cookies & Crackers,6,0.2633600000000004
2023,896429,"Cantaloupe, Inc.",US-PA,Calculating & Accounting Machines (No Electronic Computers),1,0.19027
2024,29644,"DONALDSON COMPANY, INC.",US-MN,Industrial & Commercial Fans & Blowers & Air Purifing Equip,1,4.219
2024,890066,GLEN BURNIE BANCORP,US-MD,State Commercial Banks,4,-0.0011184200000000002
2022,1075736,"Crexendo, Inc.",US-AZ,Telephone Communications (No Radiotelephone),9,-0.35413
2021,1016178,"CARVER BANCORP, INC.",US-NY,"Savings Institution, Federally Chartered",8,-0.019410000000000024
2021,1023731,"8x8, INC.",US-CA,Services-Computer Processing & Data Preparation,5,-1.5793199999999992
2021,1376986,TENNESSEE VALLEY AUTHORITY,US-TN,Electric Services,9,10.05
2022,1438943,"RANGE IMPACT, INC.",US-OH,Heavy Construction Other Than Bldg Const - Contractors,1,-0.01072176
2023,1165320,GB SCIENCES INC,US-NV,Crude Petroleum & Natural Gas,0,-0.01343402
2023,1538495,"EARTH SCIENCE TECH, INC.",US-FL,Pharmaceutical Preparations,2,0.007328919999999999
2023,927653,McKESSON CORPORATION,US-TX,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",6,32.89999999999998
2021,933974,"Azenta, Inc.",US-MA,"Special Industry Machinery, NEC",1,1.01556
2021,1066656,CERES CLASSIC L.P.,US-NY,Commodity Contracts Brokers & Dealers,3,0.0808893600000001
2022,1520697,"Acadia Healthcare Company, Inc.",US-TN,"Services-Specialty Outpatient Facilities, NEC",9,2.731390000000002
2021,8947,AZZ Inc.,US-TX,"Coating, Engraving & Allied Services",1,0.7856000000000001
2023,706863,"UNION BANKSHARES, INC.",US-VT,State Commercial Banks,4,0.11257
2024,833444,JOHNSON CONTROLS INTERNATIONAL PLC,IE-,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,1,20.91999999999993
2023,1341439,Oracle Corporation,US-TX,Services-Prepackaged Software,5,87.1499999999998
2023,1405528,"United States 12 Month Oil Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,-0.0005652000000000018
2022,1165320,GB SCIENCES INC,US-NV,Crude Petroleum & Natural Gas,0,0.03065619
2022,1020859,"UNITED NATURAL FOODS, INC.",US-RI,"Wholesale-Groceries, General Line",6,2.19
2022,733590,"Transcontinental Realty Investors, Inc.",US-TX,Real Estate Investment Trusts,3,4.682619999999989
2023,66756,"ALLETE, Inc.",US-MN,Electric & Other Services Combined,9,2.471000000000001
2023,1521951,"FIRST BUSINESS FINANCIAL SERVICES, INC.",US-WI,State Commercial Banks,4,0.37026999999999993
2021,24090,"CITIZENS, INC.",US-TX,Life Insurance,9,0.3678700000000001
2024,1486957,"BWX TECHNOLOGIES, INC.",US-VA,Engines & Turbines,1,2.8194100000000013
2022,874015,"IONIS PHARMACEUTICALS, INC.",US-CA,Pharmaceutical Preparations,2,-3.27865
2022,100378,TWIN DISC INC,US-WI,General Industrial Machinery & Equipment,1,0.04786
2021,90168,"SIFCO Industries, Inc.",US-OH,Aircraft Engines & Engine Parts,1,0.09
2024,733590,"Transcontinental Realty Investors, Inc.",US-TX,Real Estate Investment Trusts,3,-0.07575
